,Unnamed: 0,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
267,267,3,8,0,1,0,2,0,4,1,1,20,39,-12.139170881288692,False,grandmaster
268,268,3,10,0,2,1,1,1,4,0,2,36,48,-3.96749919250599,False,grandmaster
269,269,3,9,0,1,0,1,2,2,2,0,13,31,-8.075984977718143,False,grandmaster
270,270,2,11,0,4,0,2,2,3,0,2,17,35,-7.127161141037064,False,grandmaster
271,271,8,2,1,0,2,0,4,1,0,2,41,33,3.78539342629918,True,grandmaster
272,272,3,11,0,2,0,2,3,2,0,2,43,42,5.2972743344348885,False,grandmaster
273,273,5,5,1,0,0,1,2,1,1,1,32,28,3.794162549613489,True,grandmaster
274,274,10,2,2,0,1,0,3,1,2,0,38,19,11.972084580184326,True,grandmaster
275,275,7,7,1,0,2,1,3,3,1,1,22,35,-3.2811355684864267,True,grandmaster
276,276,9,2,1,0,1,0,4,0,2,0,30,13,9.1052923169919,True,grandmaster
277,277,5,8,0,1,1,2,4,1,0,2,39,31,2.806458759709514,False,grandmaster
278,278,11,1,3,0,1,0,2,2,0,2,26,15,9.847667930429663,True,grandmaster
279,279,9,1,2,0,1,0,3,1,2,0,26,21,0.7921588230770453,True,grandmaster
280,280,10,1,2,0,1,0,2,1,1,1,38,17,8.288733428661622,True,grandmaster
281,281,1,10,0,1,0,1,2,1,0,2,22,29,-3.098174727953364,False,grandmaster
282,282,8,0,1,0,1,0,4,0,2,0,25,14,9.778552983198956,True,grandmaster
283,283,4,8,0,0,1,1,1,2,1,1,29,48,-7.054919516610987,False,grandmaster
284,284,10,4,3,0,1,0,3,1,1,0,40,25,5.283496497804109,True,grandmaster
285,285,11,0,3,0,1,0,2,0,2,0,24,10,8.368057486813747,True,grandmaster
286,286,11,5,3,0,1,0,1,2,1,1,32,34,2.6779109652784783,True,grandmaster
287,287,2,9,0,2,0,1,2,2,0,2,17,35,-10.306936137316931,False,grandmaster
288,288,6,3,1,0,1,1,3,1,2,0,32,34,0.2672831950443921,True,grandmaster
289,289,0,11,0,3,0,1,0,4,0,2,14,30,-11.502564935866616,False,grandmaster
290,290,10,3,2,0,2,0,1,4,1,1,53,33,6.473643109098404,True,grandmaster
291,291,10,3,4,0,3,0,3,3,0,2,35,38,0.5635843337233126,True,grandmaster
292,292,2,11,0,1,0,1,2,1,2,0,18,31,-4.243960747018278,False,grandmaster
293,293,9,3,2,0,1,0,3,1,2,0,39,25,4.878542132918447,True,grandmaster
294,294,10,3,2,0,1,0,2,1,2,0,39,23,7.080683755061862,True,grandmaster
